Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
登录,1,8,8,8,0.00,0.000%,125.00000,57.25,27.34,469.0
TOTAL,1,8,8,8,0.00,0.000%,125.00000,57.25,27.34,469.0
